iter	Passed	Remaining
604	3747	2446
605	3754	2440
606	3760	2434
607	3767	2428
608	3773	2422
609	3779	2416
610	3785	2410
611	3793	2404
612	3799	2398
613	3805	2392
614	3812	2386
615	3818	2380
616	3825	2374
617	3831	2368
618	3837	2361
619	3843	2355
620	3849	2349
621	3855	2342
622	3861	2336
623	3867	2330
624	3873	2324
625	3879	2318
626	3885	2311
627	3892	2305
628	3898	2299
629	3905	2293
630	3911	2287
631	3916	2280
632	3922	2274
633	3928	2267
634	3934	2261
635	3941	2255
636	3947	2249
637	3955	2244
638	3962	2238
639	3968	2232
640	3974	2226
641	3981	2220
642	3987	2214
643	3993	2207
644	3999	2201
645	4004	2194
646	4010	2187
647	4015	2181
648	4021	2174
649	4026	2168
650	4032	2161
651	4037	2155
652	4043	2148
653	4049	2142
654	4055	2136
655	4061	2129
656	4067	2123
657	4073	2117
658	4079	2111
659	4086	2105
660	4092	2098
661	4098	2092
662	4104	2086
663	4111	2080
664	4117	2074
665	4123	2067
666	4129	2061
667	4135	2055
668	4140	2048
669	4146	2042
670	4151	2035
671	4157	2029
672	4162	2022
673	4168	2016
674	4173	2009
675	4179	2002
676	4185	1996
677	4191	1990
678	4196	1984
679	4202	1977
680	4208	1971
681	4214	1964
682	4219	1958
683	4225	1952
684	4231	1945
685	4236	1939
686	4242	1932
687	4248	1926
688	4254	1920
689	4260	1913
690	4266	1907
691	4272	1901
692	4278	1895
693	4283	1888
694	4289	1882
695	4294	1875
696	4299	1869
697	4304	1862
698	4310	1856
699	4315	1849
700	4320	1843
701	4326	1836
702	4331	1829
703	4336	1823
704	4342	1816
705	4347	1810
706	4352	1803
707	4358	1797
708	4363	1790
709	4368	1784
710	4373	1777
711	4380	1771
712	4385	1765
713	4390	1758
714	4396	1752
715	4401	1745
716	4407	1739
717	4412	1733
718	4417	1726
719	4422	1719
720	4428	1713
721	4433	1707
722	4438	1700
723	4444	1694
724	4449	1687
725	4454	1681
726	4460	1674
727	4466	1668
728	4472	1662
729	4478	1656
730	4483	1650
731	4489	1643
732	4495	1637
733	4501	1631
734	4507	1625
735	4513	1618
736	4518	1612
737	4524	1606
738	4529	1599
739	4535	1593
740	4541	1587
741	4547	1581
742	4553	1574
743	4558	1568
744	4563	1561
745	4568	1555
746	4573	1549
747	4579	1542
748	4584	1536
749	4589	1529
750	4595	1523
751	4600	1517
752	4606	1510
753	4611	1504
754	4616	1498
755	4621	1491
756	4627	1485
757	4632	1479
758	4638	1472
759	4643	1466
760	4649	1460
761	4654	1453
762	4659	1447
763	4664	1440
764	4669	1434
765	4675	1428
766	4680	1421
767	4685	1415
768	4690	1409
769	4696	1402
770	4701	1396
771	4706	1390
772	4712	1383
773	4717	1377
774	4722	1371
775	4728	1364
776	4733	1358
777	4738	1352
778	4744	1345
779	4750	1339
780	4755	1333
781	4760	1327
782	4765	1320
783	4771	1314
784	4776	1308
785	4781	1301
786	4786	1295
787	4792	1289
788	4798	1283
789	4803	1276
790	4808	1270
791	4814	1264
792	4819	1257
793	4824	1251
794	4829	1245
795	4834	1239
796	4840	1232
797	4845	1226
798	4850	1220
799	4856	1214
800	4861	1207
801	4866	1201
802	4872	1195
803	4877	1188
804	4882	1182
805	4887	1176
806	4892	1170
807	4898	1163
808	4903	1157
809	4908	1151
810	4913	1145
811	4919	1138
812	4924	1132
813	4929	1126
814	4935	1120
815	4940	1114
816	4946	1107
817	4952	1101
818	4957	1095
819	4963	1089
820	4968	1083
821	4974	1077
822	4979	1070
823	4985	1064
824	4990	1058
825	4996	1052
826	5002	1046
827	5008	1040
828	5014	1034
829	5019	1028
830	5024	1021
831	5030	1015
832	5035	1009
833	5040	1003
834	5046	997
835	5051	990
836	5056	984
837	5062	978
838	5067	972
839	5072	966
840	5077	960
841	5083	953
842	5088	947
843	5094	941
844	5099	935
845	5104	929
846	5109	923
847	5114	916
848	5120	910
849	5126	904
850	5131	898
851	5136	892
852	5142	886
853	5147	880
854	5153	873
855	5158	867
856	5163	861
857	5169	855
858	5174	849
859	5180	843
860	5185	837
861	5190	830
862	5195	824
863	5201	818
864	5206	812
865	5213	806
866	5218	800
867	5224	794
868	5230	788
869	5236	782
870	5241	776
871	5246	770
872	5252	764
873	5257	757
874	5263	751
875	5268	745
876	5273	739
877	5279	733
878	5284	727
879	5290	721
880	5295	715
881	5300	709
882	5305	703
883	5310	696
884	5316	690
885	5321	684
886	5327	678
887	5332	672
888	5338	666
889	5343	660
890	5349	654
891	5355	648
892	5360	642
893	5366	636
894	5371	630
895	5376	624
896	5382	618
897	5388	612
898	5394	606
899	5400	600
900	5405	593
901	5412	588
902	5418	582
903	5424	576
904	5430	570
905	5436	564
906	5442	558
907	5448	552
908	5453	545
909	5459	539
910	5465	533
911	5470	527
912	5475	521
913	5481	515
914	5486	509
915	5492	503
916	5497	497
917	5502	491
918	5508	485
919	5513	479
920	5519	473
921	5524	467
922	5530	461
923	5535	455
924	5541	449
925	5546	443
926	5551	437
927	5557	431
928	5562	425
929	5567	419
930	5573	413
931	5578	407
932	5583	400
933	5589	394
934	5594	388
935	5600	382
936	5605	376
937	5611	370
938	5616	364
939	5622	358
940	5627	352
941	5633	346
942	5639	340
943	5644	334
944	5650	328
945	5655	322
946	5661	316
947	5666	310
948	5672	304
949	5677	298
950	5682	292
951	5688	286
952	5693	280
953	5698	274
954	5704	268
955	5709	262
956	5714	256
957	5720	250
958	5725	244
959	5730	238
960	5736	232
961	5741	226
962	5746	220
963	5751	214
964	5757	208
965	5762	202
966	5768	196
967	5774	190
968	5780	184
969	5786	178
970	5792	172
971	5798	167
972	5804	161
973	5810	155
974	5817	149
975	5823	143
976	5829	137
977	5835	131
978	5841	125
979	5847	119
980	5853	113
981	5859	107
982	5865	101
983	5871	95
984	5877	89
985	5883	83
986	5888	77
987	5894	71
988	5900	65
989	5906	59
990	5912	53
991	5919	47
992	5925	41
993	5932	35
994	5938	29
995	5944	23
996	5951	17
997	5958	11
998	5964	5
999	5970	0
